index,ensemble_size,inflation,r_loc,neighbor_size
0,20,0.9,0.0001,0.0
1,20,0.9,1.0,2.0
2,20,0.9,2.0,5.0
3,20,0.9,3.0,7.0
4,20,0.9,4.0,10.0
5,20,0.9,5.0,13.0
6,20,0.9,6.0,15.0
7,20,0.9,7.0,18.0
8,20,0.9,8.0,21.0
9,20,0.9,9.0,23.0
10,20,1.0,0.0001,0.0
11,20,1.0,1.0,2.0
12,20,1.0,2.0,5.0
13,20,1.0,3.0,7.0
14,20,1.0,4.0,10.0
15,20,1.0,5.0,13.0
16,20,1.0,6.0,15.0
17,20,1.0,7.0,18.0
18,20,1.0,8.0,21.0
19,20,1.0,9.0,23.0
20,20,1.1,0.0001,0.0
21,20,1.1,1.0,2.0
22,20,1.1,2.0,5.0
23,20,1.1,3.0,7.0
24,20,1.1,4.0,10.0
25,20,1.1,5.0,13.0
26,20,1.1,6.0,15.0
27,20,1.1,7.0,18.0
28,20,1.1,8.0,21.0
29,20,1.1,9.0,23.0
30,20,1.2,0.0001,0.0
31,20,1.2,1.0,2.0
32,20,1.2,2.0,5.0
33,20,1.2,3.0,7.0
34,20,1.2,4.0,10.0
35,20,1.2,5.0,13.0
36,20,1.2,6.0,15.0
37,20,1.2,7.0,18.0
38,20,1.2,8.0,21.0
39,20,1.2,9.0,23.0
40,20,1.3,0.0001,0.0
41,20,1.3,1.0,2.0
42,20,1.3,2.0,5.0
43,20,1.3,3.0,7.0
44,20,1.3,4.0,10.0
45,20,1.3,5.0,13.0
46,20,1.3,6.0,15.0
47,20,1.3,7.0,18.0
48,20,1.3,8.0,21.0
49,20,1.3,9.0,23.0
50,20,1.4,0.0001,0.0
51,20,1.4,1.0,2.0
52,20,1.4,2.0,5.0
53,20,1.4,3.0,7.0
54,20,1.4,4.0,10.0
55,20,1.4,5.0,13.0
56,20,1.4,6.0,15.0
57,20,1.4,7.0,18.0
58,20,1.4,8.0,21.0
59,20,1.4,9.0,23.0
60,20,1.5,0.0001,0.0
61,20,1.5,1.0,2.0
62,20,1.5,2.0,5.0
63,20,1.5,3.0,7.0
64,20,1.5,4.0,10.0
65,20,1.5,5.0,13.0
66,20,1.5,6.0,15.0
67,20,1.5,7.0,18.0
68,20,1.5,8.0,21.0
69,20,1.5,9.0,23.0
70,20,1.6,0.0001,0.0
71,20,1.6,1.0,2.0
72,20,1.6,2.0,5.0
73,20,1.6,3.0,7.0
74,20,1.6,4.0,10.0
75,20,1.6,5.0,13.0
76,20,1.6,6.0,15.0
77,20,1.6,7.0,18.0
78,20,1.6,8.0,21.0
79,20,1.6,9.0,23.0
80,20,1.7,0.0001,0.0
81,20,1.7,1.0,2.0
82,20,1.7,2.0,5.0
83,20,1.7,3.0,7.0
84,20,1.7,4.0,10.0
85,20,1.7,5.0,13.0
86,20,1.7,6.0,15.0
87,20,1.7,7.0,18.0
88,20,1.7,8.0,21.0
89,20,1.7,9.0,23.0
90,20,1.8,0.0001,0.0
91,20,1.8,1.0,2.0
92,20,1.8,2.0,5.0
93,20,1.8,3.0,7.0
94,20,1.8,4.0,10.0
95,20,1.8,5.0,13.0
96,20,1.8,6.0,15.0
97,20,1.8,7.0,18.0
98,20,1.8,8.0,21.0
99,20,1.8,9.0,23.0
